nom,quartier_slug,adresse,latitude,longitude,telephone,statut,source,horaires
Pharmacie du Centre,centre-ville,"Avenue Kennedy, Centre-Ville",3.8667,11.5167,+237 222 23 45 67,non_verifie,admin,"{""lun"":{""ouv"":""08:00"",""fer"":""20:00""},""mar"":{""ouv"":""08:00"",""fer"":""20:00""},""mer"":{""ouv"":""08:00"",""fer"":""20:00""},""jeu"":{""ouv"":""08:00"",""fer"":""20:00""},""ven"":{""ouv"":""08:00"",""fer"":""20:00""},""sam"":{""ouv"":""08:00"",""fer"":""14:00""},""dim"":{""ouv"":""fermé"",""fer"":""fermé""}}"
Pharmacie de la Poste Centrale,centre-ville,"Rue de la Poste, Centre-Ville",3.8670,11.5185,+237 222 23 12 34,non_verifie,admin,"{}"
Pharmacie du Marché Central,centre-ville,"Boulevard du 20 Mai, Centre-Ville",3.8685,11.5170,+237 222 23 56 78,non_verifie,admin,"{}"
Pharmacie de l'Hôtel de Ville,centre-ville,"Place de l'Hôtel de Ville",3.8660,11.5195,+237 222 23 89 01,non_verifie,admin,"{}"
Pharmacie Biyem-Assi,centre-ville,"Carrefour Biyem-Assi",3.8540,11.4985,+237 222 23 22 33,non_verifie,admin,"{}"
Pharmacie Kennedy,centre-ville,"Avenue Kennedy",3.8672,11.5150,+237 222 23 44 55,non_verifie,admin,"{}"
Pharmacie du Plateau,centre-ville,"Quartier du Plateau",3.8700,11.5180,+237 222 23 66 77,non_verifie,admin,"{}"
Pharmacie Mvog-Ada,centre-ville,"Carrefour Mvog-Ada",3.8595,11.5135,+237 222 23 88 99,non_verifie,admin,"{}"
Pharmacie de la Cathédrale,centre-ville,"Rue de la Cathédrale",3.8678,11.5200,+237 222 23 11 22,non_verifie,admin,"{}"
Pharmacie Warda,centre-ville,"Avenue Monseigneur Vogt",3.8655,11.5175,+237 222 23 33 44,non_verifie,admin,"{}"
Pharmacie Elig-Essono,centre-ville,"Carrefour Elig-Essono",3.8690,11.5210,+237 222 23 55 66,non_verifie,admin,"{}"
Pharmacie du 20 Mai,centre-ville,"Boulevard du 20 Mai",3.8695,11.5165,+237 222 23 77 88,non_verifie,admin,"{}"
Pharmacie de Bastos,bastos,"Rue Joseph Mballa Eloumden, Bastos",3.8830,11.5070,+237 222 20 11 22,non_verifie,admin,"{}"
Pharmacie du Lac,bastos,"Quartier du Lac, Bastos",3.8850,11.5100,+237 222 20 33 44,non_verifie,admin,"{}"
Pharmacie les Ambassades,bastos,"Avenue Charles de Gaulle, Bastos",3.8815,11.5055,+237 222 20 55 66,non_verifie,admin,"{}"
Pharmacie Santa Lucia,bastos,"Rue 1.828, Bastos",3.8840,11.5085,+237 222 20 77 88,non_verifie,admin,"{}"
Pharmacie Golf,bastos,"Près du Golf Club, Bastos",3.8870,11.5110,+237 222 20 99 00,non_verifie,admin,"{}"
Pharmacie Nouvelle Bastos,bastos,"Carrefour Bastos",3.8820,11.5065,+237 222 20 22 33,non_verifie,admin,"{}"
Pharmacie Résidence,bastos,"Avenue des Palmiers, Bastos",3.8860,11.5095,+237 222 20 44 55,non_verifie,admin,"{}"
Pharmacie Tropicale,bastos,"Rue 1.845, Bastos",3.8845,11.5080,+237 222 20 66 77,non_verifie,admin,"{}"
Pharmacie d'Essos,essos,"Carrefour Essos",3.8740,11.5330,+237 222 22 11 22,non_verifie,admin,"{}"
Pharmacie de la Paix,essos,"Rue d'Essos",3.8755,11.5345,+237 222 22 33 44,non_verifie,admin,"{}"
Pharmacie Populaire d'Essos,essos,"Marché d'Essos",3.8735,11.5320,+237 222 22 55 66,non_verifie,admin,"{}"
Pharmacie Fraternité,essos,"Avenue d'Essos",3.8760,11.5355,+237 222 22 77 88,non_verifie,admin,"{}"
Pharmacie Carrefour Essos,essos,"Grand Carrefour Essos",3.8745,11.5335,+237 222 22 99 00,non_verifie,admin,"{}"
Pharmacie du Bonheur,essos,"Rue du Bonheur, Essos",3.8770,11.5360,+237 222 22 22 33,non_verifie,admin,"{}"
Pharmacie la Providence Essos,essos,"Quartier Essos Nord",3.8780,11.5340,+237 222 22 44 55,non_verifie,admin,"{}"
Pharmacie Espoir,essos,"Essos Sud",3.8725,11.5315,+237 222 22 66 77,non_verifie,admin,"{}"
Pharmacie Centrale Essos,essos,"Centre Essos",3.8750,11.5350,+237 222 22 88 99,non_verifie,admin,"{}"
Pharmacie les Palmiers Essos,essos,"Avenue des Palmiers, Essos",3.8765,11.5325,+237 222 22 11 33,non_verifie,admin,"{}"
Pharmacie Lumière,essos,"Essos Plateau",3.8738,11.5355,+237 222 22 44 66,non_verifie,admin,"{}"
Pharmacie Santé Plus Essos,essos,"Carrefour Essos Est",3.8775,11.5370,+237 222 22 55 77,non_verifie,admin,"{}"
Pharmacie Solidarité Essos,essos,"Essos Ouest",3.8730,11.5310,+237 222 22 66 88,non_verifie,admin,"{}"
